판매처,위도,경도,주소,연락처
(본점소속)매장(풍무직영점),37.607457,126.725073,경기도 김포시  풍무로 146번길 26,
(본점소속)모연원,37.398762,126.924094,,
(본점소속)안희철,37.398762,126.924094,,
(본점소속)이종근,37.398762,126.924094,,
(본점소속)주현준,37.398762,126.924094,,
(본점소속)최경원,37.398762,126.924094,,
(본점소속)최세호,37.398762,126.924094,,
(본점소속소사장)관양직영,37.405336,126.957417,경기 안양시 동안구 관양동1397-9 1층3호,
(본점소속소사장)독산직영,37.466078,126.898119,서울 금천구 독산동 1031-5  신성빌딩 101호,
(본점소속소사장)산본직영(FC),37.359736,126.931313,경기 군포시 산본로 323번길 16-25,
(본점소속소사장)상록수직영(FC),37.301822,126.867122,경기도 안산시 상록구 용신로 403,
(본점소속소사장)석수직영,37.407434,126.898947,"경기도 안양시 만안구  충훈로 83, 101~2호(석수동,남정빌딩)",
(본점소속소사장)한세대직영,37.343764,126.950222,경기도 군포시  고산로211번길 26 1층 101호,
(서대문)주식회사 지교컴퍼니(남가좌점),37.577761,126.921837,"서울특별시 서대문구  증가로 142, 1층(남가좌동)",
(서울서대문)주식회사 지교컴퍼니(홍은점),37.599103,126.947933,"서울특별시 서대문구  홍은중앙로 94, 1층(홍은동)",
(서울서대문)지교북가좌점,37.583699,126.911841,"서울특별시 서대문구  증가로 256 , 1층",
(서울강남)원텔레콤(대치),37.510456,127.020086,"서울특별시 서초구  신반포로 332 , 1층 101호 ",
(서울강변)별하,37.537529,127.096337,서울특별시 광진구 광나루로56길 856층 D-17호,
(서울강서)별텔레콤2호점,37.560911,126.859804,"서울특별시 강서구  양천로59길 42, 1층",
(서울강서)오션모바일(가양2),37.561533,126.855077,"서울특별시 강서구  화곡로 429 , 1층 2호 ",
(서울강서)위너TFK 까치산 ,37.534437,126.837654,"서울특별시 강서구  월정로30길 31 , 1층 휴대폰매장",
(서울강서)위너TFK 내발산점,37.552758,126.826270,"서울특별시 강서구  수명로 76 , 1층 103호 ",
(서울강서)위너TFK내발산 (신방화역점),37.552716,126.826261,"서울특별시 강서구  수명로 76, 1층 103호 휴대폰할인마트(내발산동, 서울메디스테이트빌딩)",
(서울강서)하연,37.549838,126.848211,서울 강서구 화곡동 981-12,
(서울구로)진성정보통신,37.486634,126.855881,서울 구로구 개봉동348-10 제 10호,
(서울금천)금천정보,37.450441,126.910417,서울 금천구 시흥동 271-35,
(서울금천)스카이여행사,37.475979,126.897495,서울특별시 금천구  시흥대로141길 67(독산동),
(서울노원)국통신,37.654339,127.062696,서울특별시 노원구 동일로 15381층 101호,
(서울노원)정통신,37.651227,127.067014,서울특별시 노원구 한글비석로 2501층 117호,
(서울도봉)승통신,37.654687,127.045600,서울특별시 도봉구 노해로63다길 131층,
(서울동대문)루이통신,37.588807,127.045281,"서울 동대문구 왕산로 239,상가동 101호 (청량리동,힐스테이트청량리역) 1층 127호",
(서울동작)상도텔레콤,37.505501,126.947025,서울특별시 동작구  만양로 8 1층(상도동),
(서울마포)희망텔레콤,37.548039,126.914527,"서울특별시 마포구  독막로2길 12, 35호(합정동 1층)",
(서울사당)엘제이컴퍼니,37.482935,126.973311,"서울 동작구 사당로16길 14, 1층(사당동,전주사선막걸리)",
(서울서대문)정직한모바일,37.599498,126.948363,"서울 서대문구 홍은중앙로 97,1층 (홍은동)",
(서울송파)송파통신,37.497519,127.107227,서울특별시 송파구 송파대로 345상가1A동 1037호,
(서울양천)누림모바일,37.519176,126.853682,"서울특별시 양천구  중앙로 254 , 1층 (신정동)",
(서울양천)로하스,37.549026,126.864485,서울특별시 양천구 목동중앙북로7길 221층,
(서울양천)성실통신(도리 양천),37.525011,126.854869,"서울 양천구 오목로 157,(신정동,대모약국) 1층",
(서울양천)위너(TFK)목동시장점,37.548278,126.866829,"서울 양천구 목동중앙북로 29,(목동) 104호",
(서울양천)위너TFK 양천구청점,37.515309,126.862318,"서울특별시 양천구  목동동로63 , 1층 101호 휴대폰할인마트(신정동,대영프라자)",
(서울양천)위너TFK목사랑점,37.539173,126.865889,"서울특별시 양천구  목동중앙남로61 , 1층 101호",
(서울영등포)굿모닝 당산,37.529060,126.899082,"서울 영등포구 당산로 168,1층 (당산동4가,충남카센타)",
(서울은평)다올텔레콤,37.599289,126.915335,서울 은평구 역촌동 85-41 108,
(서울은평)폰샵,37.598494,126.912079,"서울특별시 은평구  은평로 37 , 1층 핸드폰매장",
(서울은평)휴대폰 성지(지교 역촌),37.602408,126.918421,"서울 은평구 진흥로1길 21,1층 1호 (역촌동,KTF)",
(수원지하)대박,37.267458,127.001460,"경기 수원시 팔달구 덕영대로 907-65,60호 (매산로1가,지하번영회사무실)",
(안양지하)시대,37.397023,126.921913,"안양　만안구　안양동1189-1  중앙지하　109,110,117,118",
(안양지하)원다리텔레콤,37.397023,126.921913,"경기 안양시 만안구 안양동 1189-1,88-1번지 A76호",
(오션)본점,37.337864,126.749974,경기 시흥시 평안상가4길 21,
(인천남구)동아모바일 학익점,37.439471,126.654738,인천광역시 남구  매소홀로 284(학익동),
(인천남구)한마음,37.462072,126.696195,"인천광역시 남동구  석산로 36 , 103호",
(인천남동)글로벌 엘투,37.447948,126.729410,인천광역시 남동구 인주대로 5391층,
(인천남동)동아모바일 만수점,37.453971,126.725170,"인천광역시 남동구  구월말로58번길 4 , 1층",
(인천남동)동아모바일 소래점,37.397469,126.711249,"인천광역시 남동구  앵고개로 928 , 1층 120호 ,121호",
(인천남동)로얄모바일,37.402325,126.723219,"인천 남동구 논고개로123번길 12,(논현동)",
(인천남동)유주컴퍼니,37.463307,126.736648,인천광역시 남동구 만수로 91층,
(인천미추홀)유정텔레콤,37.458980,126.653797,인천광역시 미추홀구 독정이로 34,
(인천미추홀)제이제이스 모바일,37.459517,126.674774,"인천광역시 미추홀구 경인로 312 , 1층 102호 ",
(인천미추홀)카인드베이프(선영텔레콤),37.456194,126.680158,인천광역시 미추홀구 미추홀대로 660-51층,
(인천서구)엠제이모바일,37.505545,126.669423,"인천 서구 석남동 532, 금호어울림상가 105호",
(인천서구)천하텔레콤,37.532528,126.644973,"인천광역시 서구  청라커낼로 270 , 1층 109호",
(인천중구)행복통신(인천),37.470332,126.627911,"인천 중구 답동 24-3 신포지하상가 70,71호",
(주)청담네트웍스,37.555616,127.084474,"서울 광진구 천호대로 597,",
(평택)더블유에스 안중,36.979354,126.926664,"경기 평택시 안중읍 안현로 322,1층 101호",
(평택)프랜드모바일,36.989875,126.844145,경기도 평택시 포승읍 여술4길 21-11층,
네트웍스대기,37.556561,126.975938,서울 중구 남대문로5가SK남산그린빌딩,
삼성적자대기,37.556561,126.975938,서울 중구 남대문로5가SK남산그린빌딩,
선린텔레텍 (주),37.317118,126.839518,"경기도 안산시 단원구  중앙대로 927 (고잔동,남양빌딩332호)",
실크로드씨유(주),37.484715,127.039798,서울 서초구 남부순환로364길 8-15,
위너블아너스(본점),37.558924,126.861955,서울특별시 강서구  양천로 551-24,
주식회사 늘봄텔레콤,37.653752,127.061169,"서울특별시 노원구  동일로 1402,1층(상계동)",
주식회사 다온네트웍스,37.738268,127.112020,"경기도 의정부시 문충로 74 , 비동 835",
지은대리점 안양도매사무실,37.398762,126.924094,"경기 안양시 만안구 만안로 201,3층 301호 (안양동,두하빌딩)",
퍼스트 파트너 판매점,37.483071,126.779548,경기 부천시 경인로 216-1,
지은대리점,37.398762,126.924094,,
(경기안양)씨씨클라쓰 2호점,37.390555,126.937401,경기도 안양시 만안구 전파로 43 1층,
(경기화성)서린글로벌 향남점,37.131021,126.922889,"경기도 화성시 향남읍 발안로 116, 107호",
(경기군포)레아모바일,37.315611,126.918453,"경기 군포시 송부로 36,102호 (도마교동) 1층",
(경기동탄)류모바일 동탄점,37.164558,127.096485,"경기도 화성시 동탄순환대로 26골든프라자2, 1층 111호",
(경기수원)성지요 인계점,37.267281,127.019297,경기도 수원시 팔달구 효원로 278파비오더씨타 1층 117호,
(경기용인)서린글로벌 광교점,37.296718,127.068611,경기도 용인시 수지구 광교중앙로 297D동 1층 104호,
(경기평택)성지요 고덕신도시점,37.056567,127.047393,경기도 평택시 고덕갈평5길 32 106호,
(경기화성)서린글로벌 봉담점,37.223946,126.947372,경기도 화성시 봉담읍 매봉로 443 104호,
(경기의왕)성지요 의왕점,37.389137,126.976892,"경기도 의왕시 내손중앙로 4, G101호 성지요",
(경기용인)성지요 동백점,37.269354,127.153268,"경기도 용인시 기흥구 동백3로11번길 3, 1층 107호",
(경기용인)에이맨모바일 신갈점,37.271188,127.105881,"경기 용인시 기흥구 신갈로 52,1층 105호 (신갈동,동인빌딩)",
(본점소속소사장)화성시청점,37.200576,126.826466,"경기 화성시 남양읍 시청로 119,102호 메인프라자",
(서울성동)성지요 옥수점,37.544215,127.015942,"서울 성동구 독서당로 228, 201호 (옥수동)",
(경기수원)도경글로벌,37.266149,127.002366,"경기도 수원시 팔달구 매산로 2-10, A동 1층 217호, 218호",
(경기안양)씨에이치모바일,37.384995,126.959884,"경기도 안양시 동안구 평촌대로 142, 105호",
(경기오산)영웅폰2호점,37.144432,127.070683,"경기도 오산시 오산로190번길 17-6, 1층",
(경기용인)어메이징모바일,37.270885,127.129786,"경기 용인시 기흥구 강남동로 21,104호 (구갈동)",
(경기평택)휴대폰멀티샵 진사점,36.993531,127.137699,경기 안성시 공도읍 서동대로 3874,031-692-4504
(서울동작)신윤티앤에스,37.495321,126.954156,"서울 동작구 상도로 376,1층 (상도동)",
(서울송파)휴대폰성지 잠실점(따르릉),37.511402,127.084913,"서울특별시 송파구 올림픽로 130, 1층",
(인천남동)매직모바일 간석점,37.465378,126.693014,"인천광역시 남동구 석정로 516, 1동 5,6호",
(인천동구)매직모바일 화평점,37.478221,126.631291,"인천광역시 동구 송화로 11, 1층 핸드폰아울렛",
(경기의왕)꾸러기통신 포일점,37.397597,126.987384,"경기 의왕시 성고개로 53,1층 113호",
(인천서구)폰매직 석남점,37.513631,126.672935,인천광역시 서구 가정로 322,
(경기광명)폰의점(광명크로앙스점),37.479467,126.855627,"경기도 광명시 오리로 970, 1층 1090호, 1091호",
(경기부천)휴대폰성지 부천점(따르릉),37.505111,126.753921,"경기도 부천시 원미구 상동로 90, 104호 휴대폰성지",
(경기평택)남부폰(제로11팀),37.065864,127.058248,"경기도 평택시 송탄로 247, 105호, 106호",
(본점소속소사장)군포당동점,37.346562,126.944325,"경기 군포시 고산로 256,1층 106호(당동)",
(서울은평)제로통신(연신내역점),37.619634,126.921509,"서울특별시 은평구 통일로 856, 1층 1044호",
(인천남동)선봉모바일2호점,37.463689,126.714232,"인천광역시 남동구 용천로 157, 1층 102호",
(인천부평)선봉모바일 3호점,37.472032,126.705295,인천광역시 부평구 동암남로13번길 27 1층,
(경기수원)BNHND(비엔에이치엔디),37.271751,127.016611,"경기 수원시 팔달구 정조로 713,(매교동,수원공인중개사)",
(서울강변)클라쓰 강변지점,37.537529,127.096337,,
(인천연수)선봉모바일,37.415002,126.676201,"인천광역시 연수구 먼우금로 197, 108, 109호",
(인천중구)매직모바일 신포점,37.474002,126.629867,"인천 중구 우현로 77,1층 (인현동,나이키)",
(인천연수)주식회사 통큰휴대폰,37.411209,126.626491,인천광역시 연수구 센트럴로 415판매시설동 1층 136호,
(일산고양)왕통신(따르릉 탄현),37.690568,126.763376,"경기도 고양시 일산서구 산현로17번길 23, 은행프라자 1층 107호",
(경기광명)도리통신 광명2호점,37.451214,126.890731,경기도 광명시 금하로 529 107호,
(경기부천)선봉모바일8호점,37.473108,126.808736,"경기 부천시 소사구 범안로 98,1층 (범박동,광림빌딩)",032-347-0722
(서울관악)휴대폰 성지(따르릉 봉천),37.486256,126.941083,"서울 관악구 은천로 51,1동 105호 (봉천동,은호빌딩)",010-2829-5112
(인천남구)청년사업단 학익점,37.444873,126.658527,"인천광역시 남구 소성로 88, 101호",032-862-9300
(인천남동)청년사업단 만수3지구점,37.443776,126.738518,"인천광역시 남동구 담방로 45, 105호 일부",010-9855-9322
(인천남동)청년사업단 만수향촌점,37.461448,126.732204,인천광역시 남동구 만수서로 56 향촌메디컬 103호,032-466-9322
(인천미추홀)청년사업단 신기점,37.448061,126.676814,인천광역시 미추홀구 인하로 258 1층,010-9009-4209
(인천부평)청년사업단 백운점,37.488375,126.709314,"인천광역시 부평구 경원대로 1252, 1층",010-7774-3111
(인천부평)청년사업단 산곡점,37.503873,126.714182,"인천광역시 부평구 원적로 429, 1층 청사단텔레콤 (휴대폰매장)",032-511-2696
(강원원주)클라쓰 원주지점,37.324561,127.988066,"강원특별자치도 원주시 세계로 3, 1층 101-1호",010-2770-9505
(인천남구)매직정보통신 주안점,37.466962,126.677697,인천 남구 석정로 380-3(주안동),032-862-4011
(경기부천)판다폰,37.485524,126.780039,"경기도 부천시 부천로 3번길 48, 까뮤즈피노키오건물 128호",010-5874-6785
(인천남동)선봉모바일10호점,37.464466,126.714241,"인천 남동구 용천로 167,101호 (간석동)",032-243-1360
(경기수원)네팔모바일,37.266619,127.001275,"경기도 수원시 팔달구 덕영대로 지하 911, 72호",010-9390-9080
(경기안산)시우모바일 중앙점,37.318854,126.834862,"경기 안산시 단원구 고잔로 76,1층 128호 (고잔동,영풍빌딩)",031-411-6616
(인천계양)휴대폰성지 작전점(따르릉),37.526775,126.722642,"인천광역시 계양구 계양대로 32, 라동 101호",010-8688-4388
(경기고양)투게더 지축,37.649582,126.914951,"경기 고양시 덕양구 지축로 62,1층 116호 (지축동,아인시티)",010-2222-9216
지은대리점(가산),37.476039,126.885976,,
(강원동해)총각(강원일반)_동해,37.520768,129.113215,강원 동해시 한섬로 126101호,
(강원동해)폰샵(강원일반)_동해,37.554452,129.101393,강원 동해시 발한로 631층,
(강원동해)휴대폰할인마트(강원일반)_동해,37.525140,129.106575,강원 동해시 천곡로 12휴대폰 할인마트,
(강원삼척)한솔통신(강원일반)_삼척,37.444172,129.165156,강원 삼척시 척주로 11한솔텔레콤,
(강원삼척)휴대폰맛집(강원일반)_삼척,37.442765,129.167000,강원 삼척시 중앙시장2길 22-451층,
(강원삼척)휴대폰할인마트(강원일반)_삼척,37.449029,129.170423,강원 삼척시 교동로 271층,
(강원원주)도경텔레콤(강원일반)_원주,37.338468,127.968324,강원 원주시 치악로 17801층 도경텔레콤,
(강원원주)여보세요(강원일반)_원주,37.341120,127.922044,강원도 원주시 시청로 11상가동 102호,
(강원원주)열정컴퍼니(강원열정)AK점_원주,37.346487,127.926871,강원 원주시 서원대로 125-5102호,
(강원원주)휴대폰마트(강원일반)_원주가현,37.343799,127.933331,강원 원주시 북원로 26971층,
(강원춘천)베스트텔레콤(강원일반)_춘천,37.879010,127.738387,강원특별자치도 춘천시 춘천로 2971층,
(강원춘천)슬기로운(강원일반)_춘천,37.870238,127.720162,강원 춘천시 방송길 70117동 101-2호,
(강원춘천)썬모바일(강원일반)_춘천,37.876472,127.727734,"강원 춘천시 중앙로67번길 50-5,(약사동)",
(강원춘천)연우프라자(강원일반)_춘천,37.879010,127.738387,강원 춘천시 춘천로 3162동 101호,
(강원춘천)프라임통신(강원일반)_춘천,37.877674,127.747471,강원 춘천시 백령로 215상가3동 101호,
(강원태백)휴대폰할인마트(강원일반)_태백,37.236413,129.044595,강원 태백시 대학길 56휴대폰할인마트,
(강원홍천)써니프라자(강원일반)_홍천,37.689723,127.880150,강원 홍천군 홍천읍 홍천로3길 161층 104호,
(강원홍천)연두프라자(강원일반)_홍천,37.706779,127.904322,강원 홍천군 홍천읍 홍천로 4351층,
(강원횡성)JS휴대폰아울렛(강원일반)_횡성,37.488862,127.985523,강원 횡성군 횡성로 401폰마트휴대폰아울렛,
(강원횡성)휴대폰성지(강원열정)_횡성2호,37.489342,127.987330,강원 횡성군 횡성읍 문정로 221층 107호,
(강원횡성)휴대폰쇼핑몰(강원열정)_횡성1호,37.485925,127.983164,강원 횡성군 횡성읍 횡성로 361-3101호,
(경기고양)두리텔레콤(2호점)_성사동,37.655671,126.837644,경기도 고양시 덕양구 호국로790번길 30두리텔레콤,
(경기고양)스마일업_덕이동,37.699780,126.757149,경기도 고양시 일산서구 하이파크2로 401동 1층 105호,
(경기고양)참통신_주엽,37.669031,126.761877,경기도 고양시 일산서구 중앙로 1425가동 1층 117호,
(경기고양)폰카페_고양동,37.714542,126.898789,경기도 고양시 덕양구 혜음로 611층 폰카페,
(경기구리)성지폰_수택,37.597278,127.143469,경기도 구리시 검배로48번길 10(수택동),
(경기남양주)KG컴퍼니_남양다산,37.624606,127.152038,경기도 남양주시 다산중앙로123번길 22-24맥스타워 1층 108호,
(경기동두천)민텔레콤_동두천,37.894408,127.056263,경기도 동두천시 평화로2313번길 17-201층,
(경기부천)명성모바일_상동,37.492990,126.761538,경기도 부천시 장말로 1981층,
(경기부천)바르다폰_중동,37.487589,126.788746,경기도 부천시 원미구 부일로 3261층 27호,
(경기부천)씨엔아이_원미,37.491862,126.786785,경기도 부천시 부천로90번길 671층 일부,
(경기부천)아인모바일_원종,37.498212,126.801815,경기도 부천시 소사로 7121층 4호,
(경기부천)에스엠정보통신_원미동,37.494776,126.793208,경기도 부천시 원미로144번길 61층,
(경기부천)일루텔레콤_심곡본동,37.480485,126.771968,경기도 부천시 소사구 성주로 2191층,
(경기부천)제이에스모바일_상동,37.506643,126.776568,경기도 부천시 길주로 741층 106호,
(경기부천)클릭모바일_송내,37.499150,126.767464,경기도 부천시 중동로 48102호,
(경기분당)휴대폰성지(따르릉 정자점),37.364906,127.117799,"경기 성남시 분당구 성남대로 345,1층 112호 (정자동,정자역프라자)",
(경기수원)우리동네핸드폰아울렛_우만동,37.284636,127.032455,경기도 수원시 팔달구 팔달문로163번길 381층,
(경기시흥)넘버원모바일_대야동,37.442289,126.790307,경기도 시흥시 비둘기공원5길 23-11층 102호,
(경기시흥)넘버원통신_은행동,37.442370,126.795743,경기도 시흥시 대은로 941층,
(경기시흥)민아모바일_정왕동,37.344448,126.736266,경기도 시흥시 중심상가3길 9105호,
(경기안양)원탑프로_석수,37.419859,126.912590,경기도 안양시 만안구 경수대로 1207114호,
(경기양주)양주성지_옥정,37.822134,127.092755,"경기 양주시 옥정로6길 18,한길프라자2동 1층 103호 (옥정동,한길프라자2)",
(경기의정부)폰쇼핑_신곡,37.733012,127.060142,경기도 의정부시 장곡로 5541동 107호,
(경기하남)노바폰_하남망월,37.563280,127.193842,"경기도 하남시 미사강변남로 125102동 114-1호 (망월동, 미사역마이움푸르지오)",
(경기하남)엠제이_하남미사,37.554503,127.182850,경기도 하남시 미사강변서로 45상가 308동 1층 108호,
(경기화성)(주)리아_화성,37.128076,126.901600,경기도 화성시 향남읍 3.1만세로 11211층,
(경기화성)맥스컴퍼니_반송,37.206093,127.073306,경기도 화성시 동탄중심상가2길 37103호,
(서울강변)지오정보통신_강변(디엠탑),37.537529,127.096337,서울특별시 광진구 광나루로56길 856층 D-57호,
(서울강북)도매폰_미아,37.617396,127.039552,서울특별시 강북구 월계로 531층 101호,
(서울강서)드림통신_화곡,37.531337,126.846681,서울특별시 강서구 강서로39길 81층,
(서울구로)블루정보_신도림(하나),37.506974,126.890319,서울특별시 구로구 새말로 97판매동 9층 47호,
(서울구로)오류정보통신_오류,37.486558,126.833816,서울특별시 구로구 서해안로 23361층,
(서울구로)주식회사 에스앰정보통신_고척,37.500977,126.847460,서울특별시 구로구 고척로 1481층(고척동),
(서울구로)주식회사 에스앰정보통신_은혜,37.501924,126.847901,서울특별시 구로구 고척로 1261층 은혜정보통신,
